claim_id,policy_id,claimant_id,loss_date,report_date,state,claim_type,injury_flag,attorney_rep_flag,bodily_injury_flag,liability_decision,reserve_amount,paid_amount,closed_flag,days_to_close,report_lag_days_raw,fnol_id,reporting_channel,description_of_loss,police_report_flag,witness_flag,loss_location,weather_condition,point_of_impact,injury_reported_at_fnol,message_count,avg_sentiment_score,min_sentiment_score,avg_response_latency_minutes,max_response_latency_minutes,escalated_message_count,sender_adjuster,sender_attorney,sender_claimant,sender_insured,message_escalation_rate,claimant_message_share,attorney_message_share,policy_state,vehicle_count,driver_count,prior_claim_count,coverage_limit_bi,coverage_limit_pd,premium_amount,nonstandard_risk_tier,report_lag_days,total_incurred,paid_to_reserve_ratio,coverage_per_driver,exposure_complexity_index,early_injury_signal,high_latency_flag,negative_sentiment_flag
CLM200000,POL100860,CLT500000,2024-09-14,2024-09-15,AZ,rear_end_bi,0,0,0,insured_at_fault,314.82,1266.98,1,45,1,FNOL300000,mobile_app,rear end accident with fog conditions,0,0,parking_lot,rain,left_side,0,2,-0.049499999999999995,-0.145,57.55,63.8,0,1,0,1,0,0.0,0.5,0.0,AZ,1.0,3,3,25000,5000,2111.47,tier_3,1,1581.8,4.0244584206848355,8333.333333333334,8.5,0,0,0
CLM200001,POL101044,CLT500001,2024-08-07,2024-08-10,AZ,side_impact_bi,0,0,0,insured_at_fault,1503.27,1823.51,1,27,3,FNOL300001,phone,multi point accident with wind conditions,0,0,residential_street,fog,rear_end,0,3,-0.25733333333333336,-0.371,88.06666666666666,130.3,1,1,1,0,1,0.3333333333333333,0.0,0.3333333333333333,AZ,1.0,1,1,25000,5000,918.88,tier_1,3,3326.7799999999997,1.213028930265355,25000.0,4.5,0,0,1
CLM200002,POL100121,CLT500002,2024-01-07,2024-01-10,FL,rear_end_bi,1,1,1,comparative_negligence,5204.49,6457.43,0,141,3,FNOL300002,phone,right side accident with fog conditions,0,1,parking_lot,fog,front_end,1,4,-0.2455,-0.499,74.95,159.3,0,1,2,0,1,0.0,0.0,0.5,FL,2.0,3,1,25000,5000,1804.82,tier_3,3,11661.92,1.2407421284314122,8333.333333333334,8.5,1,0,1
CLM200003,POL100466,CLT500003,2024-01-17,2024-01-23,TX,rear_end_bi,1,0,1,under_investigation,9870.37,24524.31,0,101,6,FNOL300003,agent,right side accident with night clear conditions,0,0,parking_lot,clear,left_side,1,4,0.003750000000000007,-0.152,127.075,237.9,2,1,0,0,3,0.5,0.0,0.0,TX,1.0,2,1,25000,25000,1414.26,tier_3,6,34394.68,2.484639380286656,12500.0,6.0,1,0,0
CLM200004,POL100330,CLT500004,2024-09-01,2024-09-04,CA,rear_end_bi,1,0,0,insured_at_fault,902.56,1455.69,1,54,3,FNOL300004,phone,right side accident with wind conditions,0,0,highway,clear,rear_end,0,2,0.281,0.156,66.85,77.0,0,0,0,2,0,0.0,1.0,0.0,CA,3.0,4,0,25000,50000,1865.39,tier_3,3,2358.25,1.6128456833894702,6250.0,7.0,1,0,0
CLM200005,POL100087,CLT500005,2024-11-08,2024-11-17,FL,minor_pd,1,1,0,insured_at_fault,5205.58,8697.36,1,81,9,FNOL300005,phone,left side accident with night clear conditions,1,0,parking_lot,rain,multi_point,0,4,-0.059,-0.372,71.15,91.6,0,0,1,1,2,0.0,0.25,0.25,FL,2.0,2,0,25000,25000,1255.56,tier_3,9,13902.94,1.6707763592145353,12500.0,6.0,1,0,0
CLM200006,POL100871,CLT500006,2024-03-06,2024-03-11,FL,mixed_injury,0,0,0,comparative_negligence,881.48,278.12,1,60,5,FNOL300006,web_portal,left side accident with night clear conditions,0,0,residential_street,clear,left_side,0,3,0.23033333333333336,-0.124,103.93333333333334,137.0,0,0,0,2,1,0.0,0.6666666666666666,0.0,FL,1.0,3,0,50000,10000,1011.04,tier_1,5,1159.6,0.3155148159912874,16666.666666666668,4.0,0,0,0
CLM200007,POL100130,CLT500007,2024-01-17,2024-01-17,AZ,minor_pd,0,0,0,insured_at_fault,1079.95,1668.62,0,60,0,FNOL300007,phone,rear end accident with night clear conditions,0,0,residential_street,fog,rear_end,0,3,0.008666666666666675,-0.298,58.800000000000004,103.9,0,2,0,0,1,0.0,0.0,0.0,AZ,2.0,4,1,25000,25000,1785.78,tier_2,0,2748.5699999999997,1.5450900504652991,6250.0,7.5,0,0,0
CLM200008,POL100769,CLT500008,2024-05-27,2024-05-30,FL,side_impact_bi,0,0,0,insured_at_fault,1099.03,6049.69,1,52,3,FNOL300008,agent,multi point accident with fog conditions,1,0,highway,fog,front_end,0,1,0.0,-0.0,13.3,13.3,0,0,1,0,0,0.0,0.0,1.0,FL,2.0,3,2,25000,10000,2067.81,tier_3,3,7148.719999999999,5.504572213679335,8333.333333333334,8.0,0,0,0
CLM200009,POL100343,CLT500009,2024-04-24,2024-04-24,GA,minor_pd,0,0,0,comparative_negligence,499.9,392.52,1,42,0,FNOL300009,phone,multi point accident with night clear conditions,0,0,intersection,clear,right_side,1,2,-0.07300000000000001,-0.132,152.3,179.0,0,1,0,1,0,0.0,0.5,0.0,GA,1.0,2,0,50000,10000,1272.17,tier_3,0,892.42,0.7851970394078815,25000.0,3.0,1,0,0
CLM200010,POL100805,CLT500010,2024-12-24,2025-01-03,NV,collision_pd,0,0,0,insured_at_fault,1863.63,4116.7,1,82,10,FNOL300010,agent,multi point accident with wind conditions,0,1,urban_arterial,night_clear,front_end,0,2,-0.0475,-0.153,27.450000000000003,39.1,0,1,0,0,1,0.0,0.0,0.0,NV,1.0,3,0,50000,50000,1022.44,tier_1,10,5980.33,2.2089685184290873,16666.666666666668,4.0,0,0,0
CLM200011,POL100385,CLT500011,2024-12-03,2024-12-03,CA,rear_end_bi,1,1,0,under_investigation,1460.62,4734.12,0,100,0,FNOL300011,phone,right side accident with clear conditions,0,0,urban_arterial,night_clear,multi_point,0,7,-0.16428571428571428,-0.453,105.68571428571428,225.1,2,2,1,1,3,0.2857142857142857,0.14285714285714285,0.14285714285714285,CA,2.0,2,1,25000,5000,1886.8,tier_4,0,6194.74,3.2411715572838933,12500.0,8.357142857142858,1,0,0
CLM200012,POL100955,CLT500012,2024-07-22,2024-07-26,CA,collision_pd,0,0,0,insured_at_fault,606.97,380.56,1,46,4,FNOL300012,phone,front end accident with clear conditions,0,0,urban_arterial,clear,rear_end,0,2,-0.11449999999999999,-0.186,111.25,133.6,0,1,0,1,0,0.0,0.5,0.0,CA,3.0,3,4,25000,10000,3180.3,tier_4,4,987.53,0.6269832116908578,8333.333333333334,12.0,0,0,0
CLM200013,POL100276,CLT500013,2024-12-12,2024-12-12,FL,rear_end_bi,0,0,0,comparative_negligence,1386.27,4664.07,1,45,0,FNOL300013,mobile_app,front end accident with rain conditions,0,0,intersection,rain,rear_end,0,2,-0.0965,-0.495,61.599999999999994,67.1,0,2,0,0,0,0.0,0.0,0.0,FL,2.0,4,0,100000,50000,1587.21,tier_2,0,6050.34,3.3644744530286306,25000.0,6.0,0,0,0
CLM200014,POL100459,CLT500014,2024-03-24,2024-03-28,CA,mixed_injury,0,0,0,insured_at_fault,1800.86,2717.98,1,75,4,FNOL300014,agent,multi point accident with fog conditions,1,0,parking_lot,clear,front_end,0,5,0.10740000000000001,-0.265,117.46,264.6,1,1,1,1,2,0.2,0.2,0.2,CA,2.0,2,0,25000,5000,1277.55,tier_3,4,4518.84,1.5092677942760682,12500.0,4.6,0,0,0
CLM200015,POL100021,CLT500015,2024-12-28,2024-12-30,CA,rear_end_bi,0,0,0,insured_at_fault,1715.86,1131.29,1,54,2,FNOL300015,phone,front end accident with clear conditions,0,0,highway,night_clear,rear_end,0,1,-0.215,-0.215,52.4,52.4,0,0,0,0,1,0.0,0.0,0.0,CA,1.0,2,1,15000,10000,1178.89,tier_2,2,2847.1499999999996,0.6593136969216603,7500.0,4.5,0,0,1
CLM200016,POL100252,CLT500016,2024-06-12,2024-06-15,FL,minor_pd,0,0,0,comparative_negligence,1238.86,4024.1,1,9,3,FNOL300016,phone,right side accident with fog conditions,0,0,urban_arterial,rain,rear_end,1,2,-0.0635,-0.139,84.85,98.4,1,1,0,1,0,0.5,0.5,0.0,FL,2.0,3,2,100000,5000,2039.12,tier_3,3,5262.96,3.2482282098057893,33333.333333333336,9.5,1,0,0
CLM200017,POL100747,CLT500017,2024-06-22,2024-06-24,CA,collision_pd,0,0,0,not_at_fault,652.92,289.01,1,29,2,FNOL300017,phone,right side accident with wind conditions,1,0,urban_arterial,fog,front_end,0,4,0.4125,-0.183,75.075,118.2,0,1,1,1,1,0.0,0.25,0.25,CA,2.0,2,0,25000,25000,1206.71,tier_2,2,941.93,0.44264228389389204,12500.0,4.0,0,0,0
CLM200018,POL100856,CLT500018,2024-01-19,2024-01-22,CA,rear_end_bi,0,0,0,under_investigation,903.98,1432.01,1,59,3,FNOL300018,phone,rear end accident with wind conditions,0,0,parking_lot,night_clear,rear_end,0,1,-0.029,-0.029,39.3,39.3,0,1,0,0,0,0.0,0.0,0.0,CA,2.0,2,1,15000,10000,1549.75,tier_3,3,2335.99,1.5841169052412662,7500.0,5.5,0,0,0
CLM200019,POL100474,CLT500019,2024-03-05,2024-03-07,FL,rear_end_bi,0,0,0,insured_at_fault,487.26,2253.19,1,35,2,FNOL300019,agent,rear end accident with night clear conditions,0,0,residential_street,fog,rear_end,0,3,0.23666666666666666,0.015,161.53333333333333,224.4,0,3,0,0,0,0.0,0.0,0.0,FL,1.0,2,1,15000,10000,1281.97,tier_2,2,2740.45,4.624204736690884,7500.0,4.5,0,0,0
CLM200020,POL100510,CLT500020,2024-03-11,2024-03-12,FL,collision_pd,0,0,0,comparative_negligence,1594.6,2525.78,1,65,1,FNOL300020,agent,rear end accident with rain conditions,1,0,parking_lot,night_clear,rear_end,0,2,-0.093,-0.137,77.45,139.0,0,1,0,1,0,0.0,0.5,0.0,FL,1.0,2,2,50000,10000,1419.1,tier_1,1,4120.38,1.5839583594631885,25000.0,6.0,0,0,0
CLM200021,POL100699,CLT500021,2024-06-27,2024-06-29,TX,rear_end_bi,1,0,0,comparative_negligence,1188.62,4722.19,1,75,2,FNOL300021,web_portal,right side accident with clear conditions,0,0,parking_lot,clear,rear_end,0,2,0.030000000000000002,-0.053,118.6,188.0,0,0,0,2,0,0.0,1.0,0.0,TX,2.0,3,1,50000,25000,1548.07,tier_2,2,5910.8099999999995,3.9728340428395956,16666.666666666668,6.5,1,0,0
CLM200022,POL100975,CLT500022,2024-03-10,2024-03-17,TX,minor_pd,1,0,0,insured_at_fault,6294.22,10082.83,0,60,7,FNOL300022,mobile_app,front end accident with night clear conditions,1,0,intersection,clear,rear_end,0,2,-0.173,-0.347,40.2,44.4,0,0,1,0,1,0.0,0.0,0.5,TX,2.0,4,1,15000,10000,2084.28,tier_3,7,16377.05,1.6019189033748422,3750.0,7.5,1,0,0
CLM200023,POL100189,CLT500023,2024-02-07,2024-02-12,TX,side_impact_bi,0,0,0,not_at_fault,250.02,969.63,0,60,5,FNOL300023,mobile_app,front end accident with fog conditions,0,0,highway,rain,rear_end,0,5,0.08499999999999999,-0.211,123.72,182.3,0,1,1,1,2,0.0,0.2,0.2,TX,2.0,4,0,15000,25000,1530.0,tier_2,5,1219.65,3.878209743220542,3750.0,6.0,0,0,0
CLM200024,POL100957,CLT500024,2024-08-08,2024-08-16,TX,minor_pd,0,0,0,insured_at_fault,861.86,2659.45,1,53,8,FNOL300024,mobile_app,multi point accident with wind conditions,0,0,intersection,night_clear,multi_point,0,3,0.08466666666666667,-0.261,97.83333333333333,167.8,0,1,0,2,0,0.0,0.6666666666666666,0.0,TX,1.0,3,0,50000,50000,1291.04,tier_3,8,3521.31,3.085709976098206,16666.666666666668,4.0,0,0,0
CLM200025,POL100686,CLT500025,2024-11-14,2024-11-16,NV,mixed_injury,0,0,0,under_investigation,2184.69,3280.19,0,60,2,FNOL300025,phone,left side accident with fog conditions,1,0,highway,clear,rear_end,0,4,-0.06524999999999999,-0.185,103.475,144.7,0,1,0,2,1,0.0,0.5,0.0,NV,4.0,5,1,50000,50000,2273.72,tier_2,2,5464.88,1.5014441408163173,10000.0,10.5,0,0,0
CLM200026,POL100957,CLT500026,2024-01-26,2024-01-27,TX,side_impact_bi,1,0,0,comparative_negligence,3620.92,6454.5,1,67,1,FNOL300026,phone,rear end accident with fog conditions,0,0,parking_lot,rain,rear_end,0,2,-0.07250000000000001,-0.192,62.95,95.9,0,1,0,1,0,0.0,0.5,0.0,TX,1.0,3,0,50000,50000,1291.04,tier_3,1,10075.42,1.7825580239276206,16666.666666666668,4.0,1,0,0
CLM200027,POL100562,CLT500027,2024-07-23,2024-07-26,TX,mixed_injury,0,0,0,insured_at_fault,1482.61,2160.44,1,26,3,FNOL300027,web_portal,front end accident with clear conditions,1,0,residential_street,night_clear,multi_point,0,2,0.3065,0.181,117.9,153.4,0,1,0,1,0,0.0,0.5,0.0,TX,2.0,3,1,15000,50000,2052.46,tier_4,3,3643.05,1.4571869878120343,5000.0,6.5,0,0,0
CLM200028,POL100831,CLT500028,2024-12-16,2024-12-17,FL,collision_pd,0,0,0,not_at_fault,661.69,225.22,0,60,1,FNOL300028,agent,left side accident with fog conditions,0,0,intersection,clear,right_side,0,3,0.145,-0.076,59.166666666666664,69.2,0,1,0,1,1,0.0,0.3333333333333333,0.0,FL,1.0,2,0,25000,10000,1117.46,tier_3,1,886.9100000000001,0.3403708685336033,12500.0,3.0,0,0,0
CLM200029,POL100646,CLT500029,2024-05-27,2024-06-02,CA,rear_end_bi,1,1,0,insured_at_fault,3241.62,5736.5,0,111,6,FNOL300029,phone,left side accident with night clear conditions,0,0,highway,rain,rear_end,0,6,-0.23416666666666666,-0.545,87.11666666666667,152.4,0,2,2,0,2,0.0,0.0,0.3333333333333333,CA,1.0,1,0,25000,5000,688.31,tier_1,6,8978.119999999999,1.7696398714223136,25000.0,4.0,1,0,1
CLM200030,POL100020,CLT500030,2024-03-07,2024-03-08,TX,rear_end_bi,1,0,0,not_at_fault,1070.43,567.13,1,54,1,FNOL300030,agent,right side accident with clear conditions,1,0,parking_lot,clear,right_side,0,1,0.469,0.469,109.5,109.5,0,0,0,1,0,0.0,1.0,0.0,TX,1.0,1,1,50000,50000,1270.27,tier_3,1,1637.56,0.5298151210261296,50000.0,3.5,1,0,0
CLM200031,POL100840,CLT500031,2024-01-30,2024-01-31,FL,side_impact_bi,0,0,0,not_at_fault,1353.42,4646.72,1,47,1,FNOL300031,web_portal,multi point accident with rain conditions,1,0,residential_street,clear,right_side,0,2,0.115,0.06,37.75,45.3,0,1,0,1,0,0.0,0.5,0.0,FL,2.0,3,0,50000,5000,1056.17,tier_1,1,6000.14,3.4333170782166658,16666.666666666668,5.0,0,0,0
CLM200032,POL100166,CLT500032,2024-12-07,2024-12-09,CA,side_impact_bi,1,1,0,comparative_negligence,1722.05,6864.16,0,71,2,FNOL300032,agent,rear end accident with night clear conditions,1,0,intersection,clear,right_side,0,4,-0.33825,-0.453,73.7,91.0,2,1,1,1,1,0.5,0.25,0.25,CA,2.0,3,5,15000,25000,3214.87,tier_4,2,8586.21,3.986039894312012,5000.0,16.0,1,0,1
CLM200033,POL100387,CLT500033,2024-05-27,2024-05-28,TX,side_impact_bi,0,0,0,insured_at_fault,2618.46,3957.87,1,72,1,FNOL300033,agent,front end accident with fog conditions,0,0,urban_arterial,night_clear,left_side,0,3,-0.22333333333333336,-0.462,40.1,57.6,0,0,0,1,2,0.0,0.3333333333333333,0.0,TX,1.0,2,3,15000,10000,2249.33,tier_4,1,6576.33,1.5115258587108453,7500.0,7.5,0,0,1
CLM200034,POL100600,CLT500034,2024-02-08,2024-02-11,FL,mixed_injury,0,0,0,insured_at_fault,693.52,1011.79,1,41,3,FNOL300034,phone,right side accident with clear conditions,0,0,residential_street,clear,left_side,0,2,0.4335,0.422,74.0,124.1,0,1,0,0,1,0.0,0.0,0.0,FL,2.0,4,1,25000,10000,1816.25,tier_3,3,1705.31,1.4589197139231744,6250.0,7.5,0,0,0
