fnol_id,claim_id,reporting_channel,description_of_loss,police_report_flag,witness_flag,loss_location,weather_condition,point_of_impact,injury_reported_at_fnol
FNOL300000,CLM200000,mobile_app,rear end accident with fog conditions,0,0.0,parking_lot,rain,left_side,0
FNOL300001,CLM200001,phone,multi point accident with wind conditions,0,0.0,residential_street,fog,rear_end,0
FNOL300002,CLM200002,phone,right side accident with fog conditions,0,1.0,parking_lot,fog,front_end,1
FNOL300003,CLM200003,agent,right side accident with night clear conditions,0,0.0,parking_lot,clear,left_side,1
FNOL300004,CLM200004,phone,right side accident with wind conditions,0,0.0,highway,clear,rear_end,0
FNOL300005,CLM200005,phone,left side accident with night clear conditions,1,0.0,parking_lot,rain,multi_point,0
FNOL300006,CLM200006,web_portal,left side accident with night clear conditions,0,0.0,residential_street,clear,left_side,0
FNOL300007,CLM200007,phone,rear end accident with night clear conditions,0,0.0,residential_street,fog,rear_end,0
FNOL300008,CLM200008,agent,multi point accident with fog conditions,1,0.0,highway,fog,front_end,0
FNOL300009,CLM200009,phone,multi point accident with night clear conditions,0,0.0,intersection,clear,right_side,1
FNOL300010,CLM200010,agent,multi point accident with wind conditions,0,1.0,urban_arterial,night_clear,front_end,0
FNOL300011,CLM200011,phone,right side accident with clear conditions,0,0.0,urban_arterial,night_clear,multi_point,0
FNOL300012,CLM200012,phone,front end accident with clear conditions,0,0.0,urban_arterial,clear,rear_end,0
FNOL300013,CLM200013,mobile_app,front end accident with rain conditions,0,0.0,intersection,rain,rear_end,0
FNOL300014,CLM200014,agent,multi point accident with fog conditions,1,0.0,parking_lot,clear,front_end,0
FNOL300015,CLM200015,phone,front end accident with clear conditions,0,0.0,highway,night_clear,rear_end,0
FNOL300016,CLM200016,phone,right side accident with fog conditions,0,0.0,urban_arterial,rain,rear_end,1
FNOL300017,CLM200017,phone,right side accident with wind conditions,1,0.0,urban_arterial,fog,front_end,0
FNOL300018,CLM200018,phone,rear end accident with wind conditions,0,0.0,parking_lot,night_clear,rear_end,0
FNOL300019,CLM200019,agent,rear end accident with night clear conditions,0,0.0,residential_street,fog,rear_end,0
FNOL300020,CLM200020,agent,rear end accident with rain conditions,1,0.0,parking_lot,night_clear,rear_end,0
FNOL300021,CLM200021,web_portal,right side accident with clear conditions,0,0.0,parking_lot,clear,rear_end,0
FNOL300022,CLM200022,mobile_app,front end accident with night clear conditions,1,0.0,intersection,clear,rear_end,0
FNOL300023,CLM200023,mobile_app,front end accident with fog conditions,0,0.0,highway,rain,rear_end,0
FNOL300024,CLM200024,mobile_app,multi point accident with wind conditions,0,0.0,intersection,night_clear,multi_point,0
FNOL300025,CLM200025,phone,left side accident with fog conditions,1,0.0,highway,clear,rear_end,0
FNOL300026,CLM200026,phone,rear end accident with fog conditions,0,0.0,parking_lot,rain,rear_end,0
FNOL300027,CLM200027,web_portal,front end accident with clear conditions,1,0.0,residential_street,night_clear,multi_point,0
FNOL300028,CLM200028,agent,left side accident with fog conditions,0,0.0,intersection,clear,right_side,0
FNOL300029,CLM200029,phone,left side accident with night clear conditions,0,0.0,highway,rain,rear_end,0
FNOL300030,CLM200030,agent,right side accident with clear conditions,1,0.0,parking_lot,clear,right_side,0
FNOL300031,CLM200031,web_portal,multi point accident with rain conditions,1,0.0,residential_street,clear,right_side,0
