message_id,claim_id,message_timestamp,sender_type,sentiment_score,response_latency_minutes,escalation_flag
MSG000000,CLM200000,2024-09-25 03:53:00,claimant,-0.145,63.8,0
MSG000001,CLM200000,2024-10-07 05:58:00,adjuster,0.046,51.3,0
MSG000100,CLM200001,2024-08-24 04:33:00,insured,-0.196,130.3,1
MSG000101,CLM200001,2024-08-20 04:41:00,attorney,-0.371,106.7,0
MSG000102,CLM200001,2024-08-11 02:26:00,adjuster,-0.205,27.2,0
MSG000200,CLM200002,2024-02-16 04:22:00,attorney,-0.147,35.2,0
MSG000201,CLM200002,2024-01-13 09:44:00,attorney,-0.499,159.3,0
MSG000202,CLM200002,2024-01-13 16:44:00,adjuster,-0.163,44.8,0
MSG000203,CLM200002,2024-02-08 14:19:00,insured,-0.173,60.5,0
MSG000300,CLM200003,2024-02-22 22:59:00,adjuster,0.343,114.7,0
MSG000301,CLM200003,2024-02-25 07:18:00,insured,-0.152,135.4,0
MSG000302,CLM200003,2024-02-27 15:32:00,insured,-0.065,20.3,1
MSG000303,CLM200003,2024-02-17 21:11:00,insured,-0.111,237.9,1
MSG000400,CLM200004,2024-09-28 02:27:00,claimant,0.156,56.7,0
MSG000401,CLM200004,2024-10-04 10:49:00,claimant,0.406,77.0,0
MSG000500,CLM200005,2024-12-03 11:06:00,insured,-0.019,91.6,0
MSG000501,CLM200005,2024-12-22 09:51:00,attorney,-0.142,65.5,0
MSG000502,CLM200005,2024-11-23 06:29:00,insured,0.297,38.5,0
MSG000503,CLM200005,2024-11-26 04:39:00,claimant,-0.372,89.0,0
MSG000600,CLM200006,2024-04-16 21:00:00,claimant,-0.124,88.4,0
MSG000601,CLM200006,2024-03-17 15:26:00,claimant,0.188,86.4,0
MSG000602,CLM200006,2024-04-03 05:04:00,insured,0.627,137.0,0
MSG000700,CLM200007,2024-01-27 17:14:00,adjuster,-0.009,56.5,0
MSG000701,CLM200007,2024-02-15 14:10:00,adjuster,-0.298,16.0,0
MSG000702,CLM200007,2024-02-22 19:15:00,insured,0.333,103.9,0
MSG000800,CLM200008,2024-06-14 11:58:00,attorney,-0.0,13.3,0
MSG000900,CLM200009,2024-05-29 14:25:00,claimant,-0.014,125.6,0
MSG000901,CLM200009,2024-05-28 04:56:00,adjuster,-0.132,179.0,0
MSG001000,CLM200010,2025-02-01 23:04:00,adjuster,0.058,39.1,0
MSG001001,CLM200010,2025-01-28 00:14:00,insured,-0.153,15.8,0
MSG001100,CLM200011,2024-12-31 22:55:00,adjuster,0.017,73.1,0
MSG001101,CLM200011,2024-12-21 14:52:00,insured,-0.453,85.7,0
MSG001102,CLM200011,2024-12-18 09:52:00,adjuster,-0.386,184.3,0
MSG001103,CLM200011,2024-12-26 10:14:00,claimant,-0.383,225.1,0
MSG001104,CLM200011,2024-12-30 00:32:00,attorney,0.338,77.3,0
MSG001105,CLM200011,2024-12-19 23:51:00,insured,-0.235,49.4,1
MSG001106,CLM200011,2025-01-11 02:26:00,insured,-0.048,44.9,1
MSG001200,CLM200012,2024-08-20 11:17:00,adjuster,-0.186,133.6,0
MSG001201,CLM200012,2024-08-11 02:18:00,claimant,-0.043,88.9,0
MSG001300,CLM200013,2024-12-12 08:19:00,adjuster,0.302,67.1,0
MSG001301,CLM200013,2024-12-21 03:58:00,adjuster,-0.495,56.1,0
MSG001400,CLM200014,2024-04-27 14:35:00,attorney,0.406,19.7,1
