policy_id,policy_state,vehicle_count,driver_count,prior_claim_count,coverage_limit_bi,coverage_limit_pd,premium_amount,nonstandard_risk_tier
POL100000,GA,1.0,2,2,25000,5000,1821.14,tier_4
POL100001,FL,3.0,4,2,50000,25000,2229.84,tier_2
POL100002,FL,3.0,4,2,25000,25000,2652.88,tier_4
POL100003,CA,3.0,3,2,15000,50000,2244.98,tier_3
POL100004,FL,4.0,5,0,50000,50000,1889.15,tier_1
POL100005,CA,2.0,3,0,15000,50000,1770.73,tier_4
POL100006,CA,2.0,4,1,25000,5000,1860.75,tier_3
POL100007,GA,2.0,3,2,100000,25000,2238.26,tier_4
POL100008,TX,2.0,2,0,25000,25000,1082.45,tier_1
POL100009,FL,2.0,4,2,50000,25000,2131.65,tier_3
POL100010,TX,1.0,1,0,25000,5000,915.19,tier_2
POL100011,TX,2.0,2,1,50000,5000,1771.48,tier_4
POL100012,TX,1.0,3,1,50000,50000,1647.11,tier_3
POL100013,TX,1.0,3,2,50000,5000,2114.32,tier_4
POL100014,FL,2.0,4,0,15000,10000,1496.64,tier_2
POL100015,GA,1.0,2,1,50000,10000,1371.99,tier_2
POL100016,TX,1.0,3,0,15000,5000,1288.79,tier_3
POL100017,GA,3.0,3,0,100000,5000,1330.06,tier_1
POL100018,NV,3.0,5,1,15000,50000,2609.94,tier_4
POL100019,FL,1.0,2,2,15000,25000,1663.64,tier_3
POL100020,TX,1.0,1,1,50000,50000,1270.27,tier_3
POL100021,CA,1.0,2,1,15000,10000,1178.89,tier_2
POL100022,AZ,3.0,4,1,25000,5000,2312.04,tier_4
POL100023,FL,3.0,3,1,50000,10000,2263.82,tier_4
POL100024,TX,1.0,2,0,15000,10000,1382.99,tier_4
POL100025,AZ,2.0,3,0,15000,5000,1360.83,tier_2
POL100026,TX,1.0,1,2,25000,25000,1631.96,tier_3
POL100027,AZ,1.0,1,2,15000,50000,1377.47,tier_1
POL100028,TX,4.0,5,1,15000,10000,2064.29,tier_1
POL100029,GA,1.0,2,3,15000,10000,2049.51,tier_3
POL100030,TX,1.0,2,1,25000,10000,1493.18,tier_3
POL100031,CA,1.0,2,5,25000,5000,2946.74,tier_4
POL100032,NV,2.0,3,2,15000,10000,1947.57,tier_2
POL100033,CA,3.0,4,1,25000,10000,1970.85,tier_2
POL100034,GA,4.0,5,2,25000,10000,2838.04,tier_3
POL100035,NV,1.0,3,0,15000,10000,1142.81,tier_2
POL100036,TX,1.0,3,0,25000,25000,1046.24,tier_1
POL100037,CA,3.0,3,0,50000,5000,1729.28,tier_3
POL100038,GA,1.0,3,1,25000,5000,1433.56,tier_2
POL100039,FL,3.0,5,0,25000,5000,1996.77,tier_3
POL100040,GA,2.0,2,2,25000,5000,1642.76,tier_2
POL100041,CA,1.0,3,3,15000,10000,2194.11,tier_4
POL100042,GA,3.0,4,4,50000,25000,3062.46,tier_3
POL100043,FL,1.0,3,0,100000,50000,1141.51,tier_2
POL100044,NV,1.0,2,4,100000,10000,2550.32,tier_4
POL100045,TX,2.0,4,1,15000,10000,2359.51,tier_4
POL100046,CA,2.0,2,0,25000,5000,1243.52,tier_2
POL100047,GA,2.0,2,0,15000,10000,1340.77,tier_2
POL100048,GA,2.0,4,1,25000,10000,1838.45,tier_3
POL100049,TX,4.0,5,0,25000,25000,2004.03,tier_1
POL100050,GA,4.0,5,0,25000,10000,2082.15,tier_2
POL100051,CA,2.0,2,1,15000,5000,1319.28,tier_1
POL100052,CA,1.0,1,0,100000,10000,1301.03,tier_4
POL100053,CA,2.0,4,0,15000,5000,1592.67,tier_3
POL100054,TX,4.0,4,1,15000,50000,2351.47,tier_3
POL100055,CA,1.0,2,3,50000,5000,2344.56,tier_4
POL100056,TX,2.0,2,1,50000,5000,1485.3,tier_3
POL100057,CA,1.0,1,4,25000,5000,2081.64,tier_3
POL100058,NV,1.0,1,1,25000,25000,1056.98,tier_1
POL100059,AZ,2.0,4,0,15000,10000,1506.88,tier_1
POL100060,NV,1.0,3,1,15000,10000,1443.45,tier_3
POL100061,CA,3.0,3,3,25000,10000,2650.82,tier_3
POL100062,AZ,3.0,4,0,25000,5000,1860.44,tier_3
POL100063,TX,3.0,4,1,25000,25000,2122.0,tier_3
POL100064,NV,1.0,2,2,15000,5000,1576.13,tier_3
POL100065,FL,1.0,3,0,50000,5000,1233.53,tier_3
POL100066,TX,2.0,2,0,50000,10000,1426.3,tier_3
POL100067,CA,3.0,3,1,15000,5000,1664.2,tier_2
POL100068,AZ,2.0,3,0,15000,5000,1283.67,tier_1
POL100069,GA,3.0,4,1,25000,25000,1833.65,tier_2
POL100070,NV,1.0,1,0,50000,10000,794.64,tier_2
POL100071,GA,3.0,5,0,50000,5000,1755.89,tier_2
POL100072,GA,1.0,1,4,50000,10000,2367.72,tier_4
POL100073,CA,1.0,1,0,25000,25000,874.17,tier_2
POL100074,NV,2.0,3,1,15000,5000,1423.16,tier_1
POL100075,TX,1.0,2,0,25000,5000,1088.18,tier_2
POL100076,FL,1.0,1,1,15000,10000,1210.26,tier_2
POL100077,CA,1.0,1,0,50000,10000,999.64,tier_3
POL100078,GA,2.0,2,1,15000,50000,1555.24,tier_3
POL100079,NV,2.0,3,3,25000,10000,2649.17,tier_4
POL100080,TX,1.0,2,2,25000,5000,1720.01,tier_3
POL100081,TX,2.0,2,0,25000,10000,1093.84,tier_2
POL100082,TX,3.0,4,0,25000,10000,2118.5,tier_4
